Cupo_TC,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,AGE,RETRASO_PAGO_ESTADO_t-0,RETRASO_PAGO_ESTADO_t-1,RETRASO_PAGO_ESTADO_t-2,RETRASO_PAGO_ESTADO_t-3,RETRASO_PAGO_ESTADO_t-4,RETRASO_PAGO_ESTADO_t-5,DEUDA_MES_t-0,DEUDA_MES_t-1,DEUDA_MES_t-2,DEUDA_MES_t-3,DEUDA_MES_t-4,DEUDA_MES_t-5,PAGO_MES_t-0,PAGO_MES_t-1,PAGO_MES_t-2,PAGO_MES_t-3,PAGO_MES_t-4,PAGO_MES_t-5,default payment next month,AGE_DECILES,PROMEDIO_DEUDA,CUPO_DECILES,DEUDA/CUPO
80000,1,0,1,0,0,0,1,0,0,52,0,0,0,0,0,-1,42635,39508,36060,30470,18306,7432,1623,1740,1200,366,7432,0,0,10,29068.5,3,0.36335625
210000,1,0,0,1,0,0,0,1,0,36,0,0,0,0,0,0,143225,142996,144415,148190,147993,131629,6483,5082,6000,5900,4544,4700,0,6,143074.66666666666,7,0.6813079365079364
230000,1,0,1,0,0,0,0,1,0,44,-1,-1,-1,-1,-1,-1,54798,11632,4987,6222,15121,17425,11632,4987,6222,15121,17425,17007,0,9,18364.166666666668,7,0.07984420289855074
130000,1,0,0,0,1,0,0,1,0,36,0,0,0,0,0,0,129689,107070,103942,94623,90556,92394,5000,4400,5000,4000,3500,4000,0,6,103045.66666666667,5,0.7926589743589744
470000,1,0,0,1,0,0,0,1,0,35,0,0,0,0,0,0,64875,57920,59307,61500,59563,57368,2505,3000,3016,2200,3000,1600,0,6,60088.833333333336,10,0.1278485815602837
800000,0,1,0,1,0,0,0,1,0,53,-1,-1,-1,0,0,-1,7639,5552,64535,40814,12590,9339,11145,64657,131,247,9366,63482,0,10,23411.5,10,0.029264375
40000,0,1,1,0,0,0,1,0,0,43,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1,8,2400.0,2,0.06
10000,0,1,0,1,0,0,1,0,0,23,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1,1,2400.0,11,0.24
400000,0,1,0,1,0,0,0,1,0,39,0,0,0,0,0,0,399099,272898,202937,169138,144434,124802,15395,10232,12115,6285,11106,3124,0,7,218884.66666666666,10,0.5472116666666667
50000,1,0,1,0,0,0,0,1,0,30,-2,-2,-2,-2,-2,-2,0,614,0,0,0,0,614,0,0,0,0,0,0,4,102.33333333333333,2,0.0020466666666666667
390000,0,1,0,0,1,0,1,0,0,34,-1,-1,-1,-1,-1,-1,13006,522,1790,7957,3044,27603,524,1790,7957,3044,27603,11219,0,5,8987.0,10,0.023043589743589745
150000,0,1,0,0,1,0,1,0,0,29,-1,-1,-2,-1,-1,-1,249,0,0,12877,1558,225,0,0,12877,1558,225,0,0,3,2484.8333333333335,5,0.016565555555555556
190000,0,1,1,0,0,0,0,1,0,37,0,0,0,0,0,0,181295,178857,181463,178984,175131,170136,8019,8008,6700,6800,6324,6120,0,6,177644.33333333334,6,0.9349701754385965
160000,1,0,0,0,1,0,0,1,0,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,6,0.0
400000,0,1,0,0,1,0,0,1,0,66,0,0,0,0,0,0,279579,258070,77910,61440,44590,12270,10700,47000,1500,0,0,0,0,10,122309.83333333333,10,0.3057745833333333
70000,0,1,0,1,0,0,1,0,0,51,0,0,0,0,0,0,67880,66658,58486,29171,17725,17693,3028,3199,1267,642,651,1665,0,10,42935.5,3,0.6133642857142857
160000,0,1,0,1,0,0,0,1,0,43,0,0,0,0,0,0,69554,72390,75521,78987,80891,62113,4000,5000,10000,4000,3000,6000,0,8,73242.66666666667,6,0.4577666666666667
500000,1,0,0,1,0,0,0,1,0,39,0,-1,-1,-1,-2,-2,11712,523,1543,0,0,0,523,1543,0,0,0,0,0,7,2296.3333333333335,10,0.004592666666666667
70000,0,1,1,0,0,0,0,1,0,55,2,2,2,2,2,2,20205,22856,22202,24326,23636,25350,3000,0,2500,0,2100,1100,1,10,23095.833333333332,3,0.3299404761904762
280000,1,0,0,1,0,0,1,0,0,33,-2,-2,-1,0,0,-1,167,3690,1735,1735,1714,843,3700,1735,0,1700,1000,22000,1,5,1647.3333333333333,8,0.005883333333333333
110000,1,0,0,1,0,0,1,0,0,24,-1,0,0,0,0,0,90929,92303,92114,70057,28492,107453,3550,3200,2500,1600,80000,4000,0,1,80224.66666666667,4,0.7293151515151516
60000,0,1,0,1,0,0,1,0,0,53,0,0,0,0,0,0,56765,57849,57432,27126,27579,29085,3000,4000,2000,2000,2000,2000,0,10,42639.333333333336,3,0.7106555555555556
500000,0,1,0,0,1,0,0,1,0,40,-2,-2,-2,-2,-2,-2,5255,721,17252,7388,6069,0,721,17252,7421,6069,0,0,1,7,6114.166666666667,10,0.012228333333333334
190000,1,0,1,0,0,0,0,1,0,45,0,0,0,0,0,0,76433,78472,80548,81778,83082,84811,3300,3331,3359,2663,2751,3000,0,9,80854.0,6,0.4255473684210526
90000,1,0,0,1,0,0,1,0,0,23,0,0,0,0,0,0,13107,13740,14770,13306,10465,9704,1251,1281,1173,500,1000,1000,0,1,12515.333333333334,4,0.13905925925925927
360000,1,0,0,0,1,0,1,0,0,27,0,0,0,0,0,0,130640,120058,110795,101668,78730,66682,4500,4100,4208,3000,2300,1800,0,2,101428.83333333333,9,0.28174675925925924
30000,1,0,0,1,0,0,0,1,0,38,0,0,2,0,0,2,2433,4772,2897,3236,3575,1764,4000,0,2000,2000,0,1900,1,7,3112.8333333333335,1,0.10376111111111111
200000,1,0,0,0,1,0,0,1,0,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,7,0.0
100000,1,0,0,1,0,0,1,0,0,29,0,0,0,0,-1,0,47107,60800,68095,64339,15522,51336,18000,10000,2635,15522,41136,2000,0,3,51199.833333333336,4,0.5119983333333333
30000,1,0,0,1,0,0,0,1,0,45,1,2,2,2,2,2,23155,22490,26789,26065,27408,26831,0,5000,0,2084,0,2305,1,9,25456.333333333332,1,0.8485444444444444
200000,0,1,0,1,0,0,1,0,0,27,0,0,2,0,0,0,25334,26203,25652,25162,24995,23901,2204,1004,1004,1013,2018,4,0,2,25207.833333333332,7,0.12603916666666667
30000,0,1,0,1,0,0,1,0,0,29,-1,-1,-1,-1,-1,0,390,390,390,390,1438,719,390,390,390,1438,0,1588,0,3,619.5,1,0.02065
50000,0,1,1,0,0,0,1,0,0,34,1,2,2,2,2,2,33776,34824,33988,36311,36918,36191,1900,0,3200,1500,0,3000,1,5,35334.666666666664,2,0.7066933333333333
360000,0,1,0,0,1,0,1,0,0,31,-1,-1,-1,0,0,-1,735,51,20007,18498,18422,1842,51,20007,1590,1000,1842,390,0,4,9925.833333333334,9,0.02757175925925926
350000,1,0,1,0,0,0,0,1,0,64,0,0,0,0,0,0,30726,27639,28890,31090,32265,33737,3000,2000,3000,2000,2000,2000,0,10,30724.5,9,0.08778428571428572
220000,0,1,1,0,0,0,0,1,0,42,-1,-1,-1,-1,-1,-1,285,825,0,1230,3227,3820,825,0,1230,3227,3820,3650,0,8,1564.5,7,0.007111363636363636
200000,1,0,0,0,1,0,1,0,0,30,-1,-1,-1,-1,-1,-1,665,2618,963,1459,1028,878,2618,963,1459,1028,878,878,0,4,1268.5,7,0.0063425
260000,1,0,0,1,0,0,0,1,0,54,-1,-1,0,0,0,0,16570,7934,20258,52574,19463,20226,8234,20034,52045,7000,8073,30113,0,10,22837.5,8,0.08783653846153847
150000,1,0,0,0,1,0,0,1,0,30,1,2,-1,0,-1,2,44820,14657,20950,3601,696,696,0,20962,1,696,0,50348,0,4,14236.666666666666,5,0.09491111111111111
60000,0,1,0,1,0,0,0,1,0,41,0,0,2,-1,-1,-1,27130,32932,31938,1236,720,16884,6300,0,1236,720,17000,0,1,8,18473.333333333332,3,0.3078888888888889
60000,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,0,50840,49592,44412,45402,35704,36524,2100,1847,1837,1139,1254,1387,0,1,43745.666666666664,3,0.7290944444444444
210000,1,0,0,1,0,0,1,0,0,38,0,0,0,0,0,0,76418,78798,82525,84353,87835,79481,5000,5000,3200,5000,3000,2500,0,7,81568.33333333333,7,0.3884206349206349
